1 CHISAMBA,,,,,,,,,,,
"",,MIYANDA GODFREY K,HERITAGE,32,0.00,0.13,,,,,
Totals for NYIMBA,,,,,,,156,1.65,"9,429","24,799",38.02
53 KAPOCHE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"7,571",74.00,27.44,,,,,
"",,SATA MICHAEL C,PF,"2,147",21.00,7.78,,,,,
"",,HICHILEMA HAKAINDE,UPND,291,3.00,1.05,,,,,
"",,MIYANDA GODFREY K,HERITAGE,83,1.00,0.30,,,,,
Totals for KAPOCHE,,,,,,,121,1.18,"10,213","27,594",37.01
54 MSANZALA,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"8,311",83.00,36.06,,,,,
"",,SATA MICHAEL C,PF,"1,326",13.00,5.75,,,,,
"",,HICHILEMA HAKAINDE,UPND,206,2.00,0.89,,,,,
"",,MIYANDA GODFREY K,HERITAGE,46,0.00,0.20,,,,,
Totals for MSANZALA,,,,,,,129,1.29,"10,018","23,049",43.46
55 PETAUKE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"10,120",76.00,28.04,,,,,
"",,SATA MICHAEL C,PF,"2,426",18.00,6.72,,,,,
"",,HICHILEMA HAKAINDE,UPND,356,3.00,0.99,,,,,
"",,MIYANDA GODFREY K,HERITAGE,180,1.00,0.50,,,,,
Totals for,PETAUKE,,,,,,265,1.99,"13,347","36,094",36.98
56 KAWAMBWA,,,,,,,,,,,
"",SATA MICHAEL C,,PF,"4,967",69.00,31.91,,,,,
"",BANDA RUPIAH B,,MMD,"2,077",29.00,13.34,,,,,
"",HICHILEMA HAKAINDE,,UPND,63,1.00,0.40,,,,,
"",MIYANDA GODFREY K,,HERITAGE,13,0.00,0.08,,,,,
Totals for,KAWAMBWA,,,,,,43,0.60,"7,163","15,565",46.02
57 MWANSABOMBWE,,,,,,,,,,
"",SATA MICHAEL C,PF,"6,064",78.00,41.47,,,,,
"",BANDA RUPIAH B,MMD,"1,325",17.00,9.06,,,,,
"",HICHILEMA HAKAINDE,UPND,117,2.00,0.80,,,,,
"",MIYANDA GODFREY K,HERITAGE,82,1.00,0.56,,,,,
Totals for MWANSABOMBWE,,,,,,142,1.84,"7,730","14,623",52.86
58 PAMBASHE,,,,,,,,,,
"",SATA MICHAEL C,PF,"3,040",64.00,30.07,,,,,
"",BANDA RUPIAH B,MMD,"1,622",34.00,16.05,,,,,
"",HICHILEMA HAKAINDE,UPND,33,1.00,0.33,,,,,
"",MIYANDA GODFREY K,HERITAGE,8,0.00,0.08,,,,,
Totals for PAMBASHE,,,,,,53,1.11,"4,756","10,109",47.05
59 BAHATI,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"6,852",77.00,29.94,,,,,
"",,BANDA RUPIAH B,MMD,"1,864",21.00,8.14,,,,,
"",,HICHILEMA HAKAINDE,UPND,97,1.00,0.42,,,,,
"",,MIYANDA GODFREY K,HERITAGE,25,0.00,0.11,,,,,
Totals for BAHATI,,,,,,,104,1.16,"8,942","22,889",39.07
60 CHEMBE,,,,,,,,,,,
"",,BANDA RUPIAH B,MMD,"2,217",53.00,18.73,,,,,
"",,SATA MICHAEL C,PF,"1,902",45.00,16.07,,,,,
"",,HICHILEMA HAKAINDE,UPND,51,1.00,0.43,,,,,
"",,MIYANDA GODFREY K,HERITAGE,6,0.00,0.05,,,,,
Totals for CHEMBE,,,,,,,35,0.83,"4,211","11,838",35.57
61 MANSA CENTRAL,,,,,,,,,,
"",SATA MICHAEL C,PF,"11,815",73.00,28.13,,,,,
"",BANDA RUPIAH B,MMD,"4,021",25.00,9.58,,,,,
"",HICHILEMA HAKAINDE,UPND,233,1.00,0.55,,,,,
"",MIYANDA GODFREY K,HERITAGE,40,0.00,0.10,,,,,
Totals for MANSA CENTRAL,,,,,,168,1.03,"16,277","41,994",38.76
62 CHIPILI,,,,,,,,,,
"",SATA MICHAEL C,PF,"3,703",73.00,33.99,,,,,
"",BANDA RUPIAH B,MMD,"1,280",25.00,11.75,,,,,
"",HICHILEMA HAKAINDE,UPND,37,1.00,0.34,,,,,
"",MIYANDA GODFREY K,HERITAGE,9,0.00,0.08,,,,,
Totals for CHIPILI,,,,,,41,0.81,"5,070","10,895",46.54
63 MAMBILIMA,,,,,,,,,,,
"",,SATA MICHAEL C,PF,"3,264",57.00,27.12,,,,,
